case_id,tau,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_pre,curve_mae_pre,curve_rmse_pre,curve_bias_post,curve_mae_post,curve_rmse_post,post_minus_pre_rmse,post_minus_pre_mae,true_beta,true_gamma,true_R0,rho0,eta,severity
22,11,0.54,0.9,-0.004037781950319186,0.014657493602717295,0.01788049046979139,-0.0026295150376179004,0.02017297502607107,0.022479666822971332,-0.004434985438516985,0.013101844996130332,0.01635104273850891,-0.006128624084462422,-0.007071130029940739,0.6258602359305521,0.23720893602920884,2.6384344806195936,1.0,0.9676160444751217,mild
23,16,0.46,0.86,-0.001673114774748683,0.016879987074062228,0.021175507768142674,-0.006325526250293478,0.014924888120731339,0.019045491556095046,0.0005162553313900443,0.017800033640335586,0.022106968880024697,0.0030614773239296504,0.0028751455196042476,0.34521744342857574,0.16599815088357034,2.0796463188960956,1.0,0.8963369609124197,mild
24,22,0.6,0.98,-0.0018271567719057203,0.015085306861437857,0.01834220285948488,0.0017996303821829233,0.018127946225418287,0.02126129634158732,-0.004676775250118226,0.012694661646881806,0.015671722031575682,-0.005589574310011638,-0.005433284578536481,0.8359497397351915,0.1461540065283657,5.71964983780961,1.0,0.995327453220075,mild
25,26,0.78,0.98,-0.005101255751214922,0.009416003602091223,0.013399281061242982,-0.007868004326995175,0.013183153529938024,0.017065822677279963,-0.0021039447941196463,0.005334924513590522,0.0076505358008110745,-0.009415286876468889,-0.007848229016347501,0.28065641001307484,0.3186556615270349,0.8807513686345215,1.0,0.9042705152493061,mild
26,24,0.58,0.92,0.005419065048918128,0.01665803818963468,0.02082488864426257,0.0032815645875719688,0.018203593460687745,0.022636639182340084,0.007392142397853045,0.015231371785585698,0.01899977828714963,-0.003636860895190455,-0.0029722216751020478,0.30269982033621795,0.19910357814311508,1.5203133120924537,1.0,0.9433967086155611,mild
27,30,0.86,1.0,-0.0015967085810234495,0.008561366217149953,0.010756318258109148,-0.0009484440672243485,0.009074231712725122,0.01173601356611662,-0.0025691053517221006,0.007792067973787198,0.00909092594504105,-0.0026450876210755703,-0.001282163738937924,0.23906469648315531,0.47815126742988984,0.4999771260006307,1.0,0.8793737770731155,mild
28,30,0.6,0.96,-0.004335889765061438,0.012576254862360657,0.016635202956721645,-0.00655899311726292,0.01523315090065201,0.019755395596994064,-0.0010012347367592156,0.008590910804923624,0.010315593087055284,-0.00943980250993878,-0.006642240095728386,0.5579047532030652,0.18204407638034703,3.064668536851634,1.0,0.9061451006755789,mild
29,22,0.6,0.98,0.006550892861559987,0.01902036617510021,0.02342185787267913,-0.008935829857364297,0.01582625362260098,0.018745209486052336,0.01871903214071478,0.021530026037778174,0.026524077996314007,0.007778868510261671,0.005703772415177194,0.2637106920498069,0.07047549658206767,3.7418777424678336,1.0,0.8572262067277312,mild
30,21,0.54,0.96,0.0008776721358299256,0.015345679931342601,0.019042322331981925,-0.007426849544225704,0.013994256544503429,0.01739297965757877,0.006891291283456416,0.016324296866639935,0.020152582978972634,0.0027596033213938657,0.002330040322136507,0.8709868057087322,0.08867729148944087,9.821982506225327,1.0,0.8890810435222559,mild
31,13,0.74,0.94,-0.004553988924890291,0.01139669789990876,0.015986416144823722,-0.01162333394257495,0.01586564897129742,0.020909726645373782,-0.002070164999757843,0.009826525901853284,0.013847097821388444,-0.007062628823985338,-0.006039123069444137,0.8451428894153163,0.19093411574438424,4.426358726518855,1.0,0.904366998984286,mild
32,27,0.66,0.96,4.473708337172866e-05,0.017478105274494737,0.02093664977517135,0.0008033851325442945,0.016315885780689616,0.019826154801114684,-0.0008458497569612834,0.01884244989765727,0.022169409012410428,0.0023432542112957443,0.002526564116967653,0.2905878645253589,0.21879734784876403,1.328114199657564,1.0,0.9425265682174038,mild
33,24,0.78,0.98,-0.003974920129403472,0.010629172853659838,0.014882087234337791,-0.0032183790511529273,0.011278437867683047,0.013972024547514386,-0.004673265740096282,0.0100298513022538,0.015675319581541256,0.0017032950340268704,-0.001248586565429248,0.2981428066816685,0.32955056341384414,0.904695181198236,1.0,0.8895223695969947,mild
34,22,0.6,0.96,-0.004364185986814846,0.012524684268682904,0.015862031923238203,-0.004706899974156509,0.013861300000412897,0.016930914481975392,-0.004094910711046396,0.011474486193752196,0.014968745775281456,-0.0019621687066939363,-0.0023868138066607016,0.794907506608641,0.2379977552636992,3.3399790083225414,1.0,0.9529795363321469,mild
35,25,0.66,0.92,-0.003815134288161062,0.013071166645386257,0.017920921058510016,-0.006399462561821565,0.019172118190908805,0.02334321487507915,-0.0012308060145005584,0.006970215099863708,0.009869809646927286,-0.013473405228151863,-0.012201903091045097,0.6638115630247752,0.42218425293630013,1.5723266758718548,1.0,0.852867379006158,mild
36,10,0.6,0.9,-0.004303009788272903,0.013106882442953065,0.01720868284480332,-0.003898690873757005,0.010779486829414963,0.015230871500168993,-0.004404089516901877,0.01368873134633759,0.017668576482066125,0.002437704981897132,0.0029092445169226263,0.557819255200336,0.3455786659114001,1.6141599879413577,1.0,0.9952301631915618,mild
37,11,0.72,0.92,-0.007340054643573239,0.013859040905954316,0.018783804574067496,-0.005554430229081349,0.014008603609082374,0.018769460761787593,-0.007843692298942747,0.013816856553789992,0.01878784828475427,1.838752296667856e-05,-0.00019174705529238258,0.2946027116816583,0.27428934116333814,1.0740581840773158,1.0,0.9980609475870785,mild
38,30,0.6,0.94,-0.004138419526752841,0.013617083662575169,0.01747251690243409,-0.002211885670355211,0.01646942050429061,0.01992565877790944,-0.007028220311349287,0.009338578400002007,0.012948911176778268,-0.006976747601131173,-0.007130842104288604,0.7223721608538041,0.3934695618583455,1.8359035383628177,1.0,0.9800018967468924,mild
39,20,0.78,0.94,-0.0063345304527319965,0.012020799147430808,0.01657476938533474,-0.003681963053531945,0.01035949126817286,0.012527374997531137,-0.008102908718865365,0.013128337733602773,0.01879489870707485,0.006267523709543714,0.0027688464654299118,0.4290077559596055,0.3793091118972322,1.1310241238703445,1.0,0.8886106328036237,mild
