case_id,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_first,curve_mae_first,curve_rmse_first,curve_bias_second,curve_mae_second,curve_rmse_second,second_minus_first_rmse,second_minus_first_mae,split_mode,split_idx,true_beta,true_gamma,true_R0,beta_ref,gamma_ref,R0_ref,beta_seir,gamma_seir,sigma_seir,sigma,severity,reference_mode,reference_window_days,projection_loss
22,0.42,0.8,-0.0035933440574444832,0.02027130166767165,0.026236256150441842,-0.012586543234065176,0.026263256212696432,0.031575312209690086,0.005399855119176209,0.014279347122646868,0.01948542872106721,-0.012089883488622877,-0.011983909090049564,fraction,25,0.5356553852192198,0.158484596642381,3.379857705843308,0.5356553852192198,0.158484596642381,3.379857705843308,0.9252126089336355,0.17198195208524397,0.5437743558180992,0.5437743558180992,pooled,full_curve,50,0.008328448765604702
23,0.74,1.0,-0.005595361486193724,0.013652031581732444,0.01738220581714247,-0.0029465321358293295,0.013132137702777982,0.01714756933802118,-0.008244190836558118,0.014171925460686907,0.017613716925645163,0.0004661475876239843,0.0010397877579089252,fraction,25,0.1,0.06626777408133307,1.5090291078325044,0.1,0.06626777408133307,1.5090291078325044,0.21507551470748892,0.13235491601133975,0.1828981602748662,0.1828981602748662,pooled,full_curve,50,6.961042847955272e-05
24,0.66,0.94,-0.0025080543057993056,0.013402573349885642,0.017409545116504603,-0.001530346255749464,0.012031132858246564,0.016105650394759967,-0.003485762355849147,0.01477401384152472,0.018622366865921922,0.0025167164711619554,0.0027428809832781564,fraction,25,0.5023516355474897,0.3073662310052826,1.6343748430153864,0.5023516355474897,0.3073662310052826,1.6343748430153864,0.7255901579361533,0.3765224536314298,0.7198107285760984,0.7198107285760984,pooled,full_curve,50,0.0004995578795609158
25,0.54,0.96,-0.0023659622261766344,0.014775797199690714,0.017845417708880276,-0.002799081765115261,0.016591366417706012,0.020231857435878096,-0.0019328426872380078,0.012960227981675416,0.015086080044303752,-0.005145777391574345,-0.003631138436030596,fraction,25,0.5179133917717405,0.29667348404606514,1.745735361004905,0.5179133917717405,0.29667348404606514,1.745735361004905,0.7241602925207351,0.3521885800426382,0.7985623411296857,0.7985623411296857,pooled,full_curve,50,0.0006008900831176418
26,0.56,0.9,-0.001528482590802014,0.016004052362404764,0.02033615804231979,0.0011527046002447604,0.017747143264859915,0.02264485825756225,-0.004209669781848788,0.014260961459949612,0.01772932718236455,-0.0049155310751976995,-0.003486181804910303,fraction,25,0.4415572647277331,0.2725600237818794,1.620036785295765,0.4415572647277331,0.2725600237818794,1.620036785295765,0.664046959829155,0.3416518139936517,0.5809892329720586,0.5809892329720586,pooled,full_curve,50,0.000626749161401612
27,0.42,0.94,0.01644338773097843,0.02179862083401531,0.026678954800205858,0.01181577700190246,0.0194160236697644,0.02414168671617749,0.021070998460054398,0.02418121799826622,0.028995037867897217,0.004853351151719726,0.00476519432850182,fraction,25,0.2841571983780574,0.16940489715485418,1.6773847931816714,0.2841571983780574,0.16940489715485418,1.6773847931816714,0.38430782761335813,0.20172222890674602,0.51857002279417,0.51857002279417,pooled,full_curve,50,0.00014677415579099798
28,0.78,0.98,-0.00395265220417059,0.008904657784296433,0.013146801848422849,-0.002030172545928508,0.008761982175055891,0.011133364039379713,-0.005875131862412672,0.009047333393536973,0.014890433266028076,0.0037570692266483633,0.00028535121848108184,fraction,25,0.2203441549792636,0.3289947582764815,0.6697497435326619,0.2203441549792636,0.3289947582764815,0.6697497435326619,0.21291136386148155,0.3607346660973756,0.2282718130970415,0.2282718130970415,pooled,full_curve,50,1.52945584197873e-05
29,0.52,0.92,0.02092300803400576,0.028009554268792272,0.036061939252277686,0.013759174961596727,0.02631649876013398,0.03460245151478282,0.028086841106414795,0.02970260977745056,0.03746461362989129,0.002862162115108473,0.0033861110173165794,fraction,25,0.22315697888503155,0.05747687320347436,3.8825525197766355,0.22315697888503155,0.05747687320347436,3.8825525197766355,0.2644606877936243,0.060421512310077086,0.7047783850734497,0.7047783850734497,pooled,full_curve,50,0.0005265382867467952
30,0.52,0.94,0.004772104581643361,0.01696993086283328,0.02130381896832829,0.008240778591134585,0.014616202409961261,0.018563742969953338,0.0013034305721521377,0.0193236593157053,0.023729577581914862,0.005165834611961524,0.0047074569057440376,fraction,25,0.4021305440810377,0.21338348364104823,1.8845439076132906,0.4021305440810377,0.21338348364104823,1.8845439076132906,0.9313846928970714,0.28726239813804616,0.2398796722252234,0.2398796722252234,pooled,full_curve,50,0.0031520465544521573
31,0.56,0.86,-0.0003080487297847867,0.015046163746155798,0.018841654357796576,0.004628553930670023,0.014135635290294886,0.017322204202230074,-0.005244651390239596,0.01595669220201671,0.020247397844009297,0.002925193641779223,0.0018210569117218245,fraction,25,0.4239550521331279,0.27610214992288684,1.5355007277253554,0.4239550521331279,0.27610214992288684,1.5355007277253554,0.7498135529285523,0.3816684833302549,0.4162231905989713,0.4162231905989713,pooled,full_curve,50,0.0008554061086793324
