case_id,feature,observed_value,pred_mean,pred_median,pred_std,pred_ci50_low,pred_ci50_high,pred_ci90_low,pred_ci90_high,pred_width50,pred_width90,covered50,covered90,err_mean,err_median,abs_err_median,sq_err_median,true_beta,true_gamma,true_R0
43,early_growth_slope,0.004072252527943678,0.0035009245529562627,0.0034309476503126676,0.002410800565930955,0.0020290551571330697,0.005252816033351423,-0.00030249022723485863,0.007585223327809908,0.003223760876218353,0.007887713555044766,1.0,1.0,-0.000571327974987415,-0.0006413048776310101,0.0006413048776310101,4.112719460733248e-07,0.3389758697080852,0.14313937489326495,2.3681525084264905
44,peak_time,1.0,20.84,20.0,13.945579655187945,8.75,32.5,2.0,44.0,23.75,42.0,0.0,0.0,19.84,19.0,19.0,361.0,0.2274875291375127,0.2485028523930618,0.9154322654521938
44,peak_height,0.046457380056381226,0.054458235241472724,0.05136975459754467,0.01337441785475576,0.045678963884711266,0.06097863707691431,0.037662589363753794,0.07882815599441527,0.015299673192203045,0.041165566630661475,1.0,1.0,0.008000855185091499,0.0049123745411634445,0.0049123745411634445,2.4131423632670762e-05,0.2274875291375127,0.2485028523930618,0.9154322654521938
44,cumulative_infected,0.5348541457206011,0.601925157184105,0.528590836605872,0.2596220464369142,0.4337966386665357,0.6590632630104665,0.3247393400883084,1.1750498574925585,0.22526662434393074,0.8503105174042501,1.0,1.0,0.06707101146350392,-0.006263309114729054,0.006263309114729054,3.922904106664805e-05,0.2274875291375127,0.2485028523930618,0.9154322654521938
44,early_growth_slope,-0.0016461932211227336,-1.8049385794472465e-05,-9.042669885924806e-05,0.002155349884941003,-0.001259687462671925,0.001165009107180161,-0.002834295523297483,0.0032894682578487487,0.002424696569852086,0.006123763781146232,0.0,1.0,0.001628143835328261,0.0015557665222634856,0.0015557665222634856,2.420409471795821e-06,0.2274875291375127,0.2485028523930618,0.9154322654521938
45,peak_time,11.0,10.39,10.0,1.1091447246423798,10.0,11.0,9.0,12.0,1.0,3.0,1.0,1.0,-0.6099999999999994,-1.0,1.0,1.0,0.8184391542398534,0.2660594057653985,3.076151928872318
45,peak_height,0.34030529856681824,0.30651635855436327,0.3061530143022537,0.019613097968413085,0.29495399445295334,0.31922128796577454,0.27621405869722365,0.33858657628297806,0.024267293512821198,0.062372517585754406,0.0,0.0,-0.03378894001245497,-0.034152284264564514,0.034152284264564514,0.001166378520487621,0.8184391542398534,0.2660594057653985,3.076151928872318
45,cumulative_infected,3.7311399444006383,3.627449321608474,3.630743454559706,0.1884745144428495,3.501610127190361,3.749608386962791,3.298654711616109,3.9350470753532134,0.24799825977243017,0.6363923637371043,1.0,1.0,-0.10369062279216434,-0.10039648984093219,0.10039648984093219,0.010079455172380401,0.8184391542398534,0.2660594057653985,3.076151928872318
45,early_growth_slope,0.028963341821162465,0.02624118801461701,0.02660083122152302,0.00408945799124871,0.023206713542874367,0.02908320395675088,0.02024776247555911,0.0322263581426038,0.005876490413876511,0.011978595667044692,1.0,1.0,-0.0027221538065454534,-0.002362510599639444,0.002362510599639444,5.581456333408725e-06,0.8184391542398534,0.2660594057653985,3.076151928872318
46,peak_time,8.0,8.42,8.0,0.7410066862659939,8.0,9.0,7.0,10.0,1.0,3.0,1.0,1.0,0.41999999999999993,0.0,0.0,0.0,0.9926285955661559,0.07283010573586705,13.62937188593577
