case_id,tau,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_pre,curve_mae_pre,curve_rmse_pre,curve_bias_post,curve_mae_post,curve_rmse_post,post_minus_pre_rmse,post_minus_pre_mae,true_beta,true_gamma,true_R0,rho0,eta,severity
21,30,0.42,0.84,-0.0026305397786200047,0.021022670082747937,0.02533813691516863,-0.00803903021539251,0.02021125378087163,0.024604311190444525,0.0054821958765387535,0.022239794535562397,0.026400658364806498,0.001796347174361973,0.002028540754690767,0.45502054930890345,0.19800600835441223,2.298013848622509,1.0,0.8160811201188903,medium
22,11,0.54,0.9,-0.005405283155851066,0.013951179111609235,0.017833275945468737,-0.00764376221393997,0.022017955864694985,0.025249236048958654,-0.004773917267672145,0.011675934386379922,0.015096716756102394,-0.01015251929285626,-0.010342021478315063,0.6258602359305521,0.23720893602920884,2.6384344806195936,1.0,0.7960267407918695,medium
23,16,0.52,0.86,-0.002416904147248715,0.017707613327074795,0.022229643849967794,-0.00870818443945609,0.016386458039050922,0.020388978787896604,0.0005436983432018143,0.018329333462615442,0.023045023699532048,0.002656044911635444,0.0019428754235645204,0.34521744342857574,0.16599815088357034,2.0796463188960956,1.0,0.677228268187366,medium
24,22,0.58,0.98,-0.003748711594380438,0.01462004595901817,0.017724407173963338,-0.004829546267336065,0.0186617025597529,0.021187189822837016,-0.0028994843513438745,0.011444458629869456,0.014432102369452183,-0.006755087453384833,-0.007217243929883443,0.8359497397351915,0.1461540065283657,5.71964983780961,1.0,0.8422124220334584,medium
25,26,0.74,0.96,-0.006013843839027686,0.009667546388373012,0.013989208616613751,-0.00931019723569849,0.01391296601650538,0.017902914200829317,-0.002442794325967649,0.005068341791229614,0.007776902572731966,-0.010126011628097353,-0.008844624225275766,0.28065641001307484,0.3186556615270349,0.8807513686345215,1.0,0.6904508587488435,medium
26,24,0.64,0.94,0.001197506608441472,0.015636748606339096,0.019589170553084873,-7.072744968657692e-05,0.017419346821649622,0.021712283040146458,0.002368184200559671,0.013991273330667844,0.01740095323684443,-0.004311329803302028,-0.003428073490981778,0.30269982033621795,0.19910357814311508,1.5203133120924537,1.0,0.7556611810259353,medium
27,30,0.86,1.0,-0.001418167398078367,0.008750014631077647,0.01088348038027627,-0.0003272723164021348,0.009267521177146893,0.01171923902999274,-0.0030545100205927158,0.007973754811973776,0.00949286668011768,-0.0022263723498750602,-0.0012937663651731175,0.23906469648315531,0.47815126742988984,0.4999771260006307,1.0,0.6489562951218593,medium
28,30,0.68,0.92,-0.0045598320112912915,0.012044156174233649,0.01629147906465809,-0.008599115426962574,0.015336942936604222,0.019786961268249328,0.0014990931122156326,0.00710497603067779,0.008731836630324893,-0.011055124637924435,-0.008231966905926431,0.5579047532030652,0.18204407638034703,3.064668536851634,1.0,0.6935751677926314,medium
29,22,0.38,0.86,0.008037452176213265,0.026159106865525247,0.03245257989623043,-0.013005082580176268,0.018488518555055965,0.022685021192514244,0.024570872341947898,0.03218599768089397,0.03842296234626732,0.015737941153753075,0.013697479125838002,0.2637106920498069,0.07047549658206767,3.7418777424678336,1.0,0.6120436778795519,medium
30,21,0.34,0.82,-0.00206417684443295,0.023262115335091947,0.028066348136872022,-0.02410722304401653,0.02778931926669819,0.032470141525702254,0.013898029024231023,0.01998379524668743,0.02438589401635013,-0.008084247509352122,-0.007805524020010762,0.8709868057087322,0.08867729148944087,9.821982506225327,1.0,0.6651350725370933,medium
31,13,0.68,0.9,-0.0037801126803969965,0.013807879968662746,0.021715532427529504,-0.01603112665291589,0.02169224600164363,0.03247924170863404,0.0005242976342718041,0.01103769730842622,0.016328140677132046,-0.016151101031501993,-0.010654548693217412,0.8451428894153163,0.19093411574438424,4.426358726518855,1.0,0.69061166497381,medium
32,27,0.62,0.98,-0.006835088862571865,0.017956545890774576,0.021473641220591064,-0.006378643494961715,0.01701677017586513,0.02018562655408929,-0.007370916033244651,0.01905976086045089,0.022893378898752256,0.0027077523446629656,0.002042990684585761,0.2905878645253589,0.21879734784876403,1.328114199657564,1.0,0.7542109470290064,medium
33,24,0.8,0.98,-0.004361818844918161,0.01079505040543154,0.015080616665397596,-0.003532014600447534,0.010963688587556438,0.01381144496148484,-0.0051277919936602795,0.010639384391162401,0.016163950469455627,0.0023525055079707865,-0.0003243041963940374,0.2981428066816685,0.32955056341384414,0.904695181198236,1.0,0.6658706159949912,medium
34,22,0.58,0.94,-0.004232473121664953,0.013265318315243349,0.0166930872853215,-0.006087286694144661,0.01436456898227334,0.017733716960520528,-0.002775119600430896,0.012401621362576927,0.015827523920350344,-0.0019061930401701836,-0.0019629476196964136,0.794907506608641,0.2379977552636992,3.3399790083225414,1.0,0.7716325605535782,medium
35,25,0.64,0.9,-0.0027358094323426483,0.013027388440677896,0.017837149298044728,-0.005365799613064155,0.018754484482342376,0.02290019375432508,-0.00010581925162114202,0.007300292399013415,0.010578701062788645,-0.012321492691536436,-0.01145419208332896,0.6638115630247752,0.42218425293630013,1.5723266758718548,1.0,0.6047789650102634,medium
36,10,0.62,0.88,-0.005850831266725436,0.013445631429785863,0.01735819467020754,-0.0064904721919447185,0.012884547607973218,0.01670472467849703,-0.005690921035420615,0.013585902385239023,0.017517753740560738,0.0008130290620637082,0.0007013547772658051,0.557819255200336,0.3455786659114001,1.6141599879413577,1.0,0.8420502719859362,medium
37,11,0.74,0.92,-0.007238930423627607,0.013826155356946401,0.018711151612317463,-0.00610129647380249,0.014119968008757993,0.01838731882054908,-0.007559801537680846,0.013743285121820055,0.018801480646455655,0.00041416182590657546,-0.00037668288693793774,0.2946027116816583,0.27428934116333814,1.0740581840773158,1.0,0.8467682459784642,medium
38,30,0.6,0.94,-0.004579913924244465,0.013764923369308235,0.017679871000256888,-0.0031088568929893276,0.016884114247901986,0.02035402787323554,-0.006786499471127172,0.009086137051417609,0.012649700410193023,-0.007704327463042516,-0.007797977196484377,0.7223721608538041,0.3934695618583455,1.8359035383628177,1.0,0.8166698279114875,medium
39,20,0.8,0.96,-0.005361319130752235,0.01102861281717196,0.015473866936225262,-0.003484016575384885,0.00989632635610178,0.012107833207748225,-0.006612854167663803,0.011783470457885414,0.017358989408245377,0.005251156200497152,0.001887144101783634,0.4290077559596055,0.3793091118972322,1.1310241238703445,1.0,0.6643510546727062,medium
40,15,0.42,0.68,0.001004366921260953,0.02311856153421104,0.02866150677996648,-0.01973328928773602,0.02377728885039687,0.031840912334932865,0.009891933867973941,0.022836249827274255,0.02718531277315015,-0.004655599561782714,-0.0009410390231226161,0.36799685108536473,0.09638570911890151,3.8179607168880545,1.0,0.651973850843157,medium
41,20,0.54,0.88,-0.005402278620167635,0.014289746390422806,0.018649129544856993,-0.007084024581126868,0.013593143527396023,0.01685509394907083,-0.004281114646194813,0.014754148299107327,0.01975484564893959,0.002899751699868759,0.0011610047717113044,0.7382039414826657,0.25083437938249614,2.9429934736218195,1.0,0.6514852250518245,medium
42,22,0.78,0.98,-0.0055865601478581085,0.00922548789450957,0.013448201549942744,-0.00685162141235196,0.011197173958366462,0.016010119831176742,-0.00459258344004151,0.00767630598719344,0.011025262601673464,-0.004984857229503278,-0.003520867971173022,0.32856428459805054,0.41203451161062377,0.7974193310014446,1.0,0.603727717426543,medium
43,27,0.62,0.92,-0.0024359817238291726,0.014351010658429005,0.019145563544468693,-2.876012930991473e-05,0.016145817047260976,0.02026301645788951,-0.005261850552177866,0.012244064028061035,0.017744202483091064,-0.002518813974798445,-0.003901753019199941,0.9723866116433706,0.17480184190337622,5.562793853058303,1.0,0.6836761688247556,medium
44,25,0.56,0.94,-0.003976855362707283,0.014129579282307531,0.018335659272134038,-0.0029365910030901433,0.013253870215266942,0.017270045420379843,-0.005017119722324424,0.01500528834934812,0.01934265579142655,0.0020726103710467063,0.0017514181340811778,0.6520502501421478,0.2329313371554972,2.799323861292484,1.0,0.7291206681227332,medium
45,30,0.62,0.92,-0.0007717220188351348,0.013972851142170839,0.018213834985173916,-0.002808776202922066,0.015283214068040252,0.0204733588381931,0.002283859257295262,0.01200730675336672,0.014164103536466192,-0.006309255301726907,-0.003275907314673532,0.5488296499538862,0.15381212741806394,3.568181905852963,1.0,0.8149194848216177,medium
46,25,0.48,0.82,-0.005898891282267869,0.019959359117783605,0.025630956299241947,-0.017185340682044626,0.021465653041377663,0.026883457399696876,0.005387558117508889,0.018453065194189548,0.02431401982120571,-0.0025694375784911655,-0.0030125878471881154,0.7785025313363297,0.123444753747994,6.306485352351237,1.0,0.6579805405390452,medium
47,18,0.42,0.8,0.009543115636333824,0.024185381690040232,0.032426987005561556,-0.015254497346985672,0.020626336155045364,0.025357565144283764,0.02349177293945104,0.026187344803474844,0.035795148210033385,0.010437583065749621,0.0055610086484294795,0.592662601033353,0.07158706154317575,8.278906666338093,1.0,0.8417656589803773,medium
48,17,0.52,0.84,-0.003932106550782919,0.017364300966728478,0.023384866782890132,-0.010109590777360341,0.016143349191064343,0.022370470617556332,-0.0007497661916369742,0.01799327612388879,0.023890631152545173,0.001520160534988841,0.001849926932824448,0.5645354242436196,0.26893582591221865,2.099145483234671,1.0,0.6209558598284604,medium
49,14,0.5,0.84,-0.004531207554391585,0.01862078837992158,0.023084022610672633,-0.013334090455568262,0.01991357152084155,0.02552692130467537,-0.0011078642039339887,0.018118039380674925,0.022061072450743933,-0.0034658488539314365,-0.0017955321401666238,0.7214795506242654,0.19891426371911652,3.627088058617327,1.0,0.7928947860265338,medium
50,14,0.74,0.92,-0.006230130439798813,0.012027691069815773,0.016915774690129854,-0.005103271911918584,0.014700535626616329,0.019655573151004115,-0.0066683532006411245,0.01098825151994889,0.015721879557764974,-0.00393369359323914,-0.0037122841066674385,0.16068569264652233,0.16660576368692506,0.9644665892140001,1.0,0.604578809149518,medium
51,24,0.66,0.94,-0.003966320662293583,0.013068630147608928,0.019616749203532936,4.670118020536999e-05,0.015902848303085193,0.022489492972229918,-0.007670648516908001,0.010452428773323145,0.01652758464153886,-0.005961908330691056,-0.005450419529762048,0.8727754043935709,0.4780327927690611,1.8257647123702894,1.0,0.7787007114227854,medium
52,16,0.56,0.88,-0.005071151791853481,0.01644584393281548,0.02281634336398705,-0.016735313343815506,0.027168594649992883,0.03310129683104499,0.0004178654090698247,0.011399843595320229,0.01580966066795182,-0.017291636163093174,-0.015768751054672653,0.6655068736325342,0.23277988831753416,2.8589534879607763,1.0,0.688740736226844,medium
53,28,0.42,0.92,0.03103767185006291,0.037245092005468904,0.045383082754040766,0.011649332050832786,0.02236896491376683,0.027876255240890886,0.0557137406854467,0.05617834466763518,0.060761386152517395,0.03288513091162651,0.03380937975386835,0.17810686037727783,0.10921471278320355,1.6307954838541625,1.0,0.8226375810409879,medium
