case_id,true_beta,true_gamma,true_R0,beta0,gamma,tau,kappa,severity,beta_mean,beta_median,beta_std,beta_ci50_low,beta_ci50_high,beta_ci90_low,beta_ci90_high,beta_width50,beta_width90,gamma_mean,gamma_median,gamma_std,gamma_ci50_low,gamma_ci50_high,gamma_ci90_low,gamma_ci90_high,gamma_width50,gamma_width90,R0_mean,R0_median,R0_std,R0_ci50_low,R0_ci50_high,R0_ci90_low,R0_ci90_high,R0_width50,R0_width90,beta_covered50,beta_covered90,beta_err_mean,beta_err_median,beta_abs_err_median,beta_sq_err_median,gamma_covered50,gamma_covered90,gamma_err_mean,gamma_err_median,gamma_abs_err_median,gamma_sq_err_median,R0_covered50,R0_covered90,R0_err_mean,R0_err_median,R0_abs_err_median,R0_sq_err_median
57,0.8334798737542799,0.4529826178605309,1.8399820233519435,0.886873519010525,0.4529826178605309,16,0.9114641886693092,mild,0.8817524087252214,0.8888697462248655,0.043044697058902084,0.8591756458384608,0.9118378135793807,0.8008356296481347,0.9396735694043015,0.05266216774091981,0.13883793975616676,0.4466736425654218,0.4474233009275771,0.02269195736444047,0.4316534692701358,0.4627133849413857,0.40779849566044774,0.4826746771339193,0.031059915671249883,0.07487618147347158,1.975215485515894,1.9720409168475865,0.06443719107424598,1.9326599979178078,2.014616588923478,1.8819066621913307,2.0842131597561555,0.08195659100567032,0.20230649756482477,0.0,1.0,0.04827253497094153,0.05538987247058558,0.05538987247058558,0.003068037972307734,1.0,1.0,-0.006308975295109098,-0.005559316932953806,0.005559316932953806,3.090600476102691e-05,0.0,0.0,0.1352334621639506,0.13205889349564304,0.13205889349564304,0.017439551351293592
58,0.8893623369380096,0.18379133842038564,4.838978509987084,0.9624290416441336,0.18379133842038564,24,0.8540018145903175,mild,0.9400219936534754,0.9481162322702918,0.03637138785913726,0.9232293338777884,0.9650063680058585,0.8690971050975494,0.9820538599029793,0.0417770341280701,0.11295675480542988,0.18954981433095047,0.1893484921510646,0.009701591457731142,0.1828316096697511,0.19570045152205787,0.17414944446409214,0.206141212981235,0.012868841852306773,0.03199176851714286,4.971974268464722,4.959331492249775,0.31751894377801604,4.769421223155456,5.171840708188733,4.476605675617286,5.48346415295132,0.40241948503327674,1.0068584773340339,0.0,1.0,0.050659656715465795,0.05875389533228226,0.05875389533228226,0.0034520202167167787,1.0,1.0,0.005758475910564831,0.005557153730678971,0.005557153730678971,3.0881957586399204e-05,1.0,1.0,0.13299575847763823,0.1203529822626912,0.1203529822626912,0.014484840339523663
59,0.6770186199235947,0.13649481425855584,4.960031804879778,0.7243710469351519,0.13649481425855584,24,0.8742876871971911,mild,0.7080729923954336,0.7081087089566045,0.025709529884033747,0.6910944555851808,0.7256916202347328,0.6657147684501177,0.750807688287813,0.03459716464955198,0.08509291983769529,0.13226512164255638,0.13211145379052047,0.005773002773868109,0.1282344802767799,0.13589900276150918,0.12330279666591569,0.14239274632889415,0.007664522484729291,0.01908994966297846,5.3627571119890165,5.360876448118298,0.2892811720877295,5.161906048027758,5.547857348390033,4.901797663549066,5.855512451505511,0.385951300362275,0.9537147879564456,0.0,1.0,0.031054372471838954,0.031090089033009805,0.031090089033009805,0.0009665936360804766,0.0,1.0,-0.004229692615999453,-0.004383360468035363,0.004383360468035363,1.9213848992735198e-05,0.0,1.0,0.4027253071092387,0.4008446432385204,0.4008446432385204,0.1606764280130167
60,0.4708697643610773,0.2483737348535992,1.895811425626891,0.5035926476536244,0.2483737348535992,15,0.9071730368780858,mild,0.5256695667184963,0.5254923205599681,0.015130856198926375,0.5156565630489389,0.5360916021596012,0.5015285498807123,0.5508112483565277,0.020435039110662245,0.049282698475815456,0.2621865963298564,0.26159047359202625,0.01058718336232317,0.2550300196503068,0.2689274703694161,0.24537860545324555,0.28046388481823714,0.013897450719109306,0.03508527936499159,2.0066190131429362,2.0064252161989673,0.059484772872986834,1.9658166242187995,2.0451282514800386,1.912725730813692,2.1052237026513563,0.07931162726123908,0.19249797183766426,0.0,0.0,0.05479980235741899,0.05462255619889078,0.05462255619889078,0.0029836236457009817,0.0,1.0,0.01381286147625721,0.013216738738427047,0.013216738738427047,0.00017468218287983818,0.0,0.0,0.11080758751604525,0.11061379057207632,0.11061379057207632,0.01223541066472316
61,0.5791325189626151,0.14356624961516665,4.033904350883275,0.6011078822951196,0.14356624961516665,10,0.9543023723782345,mild,0.6066767789394883,0.6065581066636279,0.014900023024677864,0.5964735168136012,0.6174008119218497,0.5822399615325466,0.6312451563465191,0.020927295108248534,0.049005194813972475,0.15065822642754664,0.15055747060604635,0.00539412570353006,0.1470144869173573,0.15429177713305342,0.14194121989928762,0.15953658551256572,0.0072772902156961194,0.017595365613278097,4.031560070811388,4.0287499000038025,0.16490496054386022,3.915855117338104,4.137991007497269,3.776316030294348,4.317279394998109,0.2221358901591648,0.540963364703761,0.0,0.0,0.027544259976873264,0.027425587701012777,0.027425587701012777,0.0007521628607459433,0.0,1.0,0.0070919768123799964,0.006991220990879704,0.006991220990879704,4.887717094331699e-05,1.0,1.0,-0.0023442800718873613,-0.0051544508794725274,0.0051544508794725274,2.656836386889511e-05
62,0.38140334424902933,0.4730704426441736,0.8062294953732865,0.38747507425811556,0.4730704426441736,29,0.9626905032554333,mild,0.2860752722981426,0.2687534234275165,0.12297735997946707,0.1808562781839249,0.3704347860281714,0.11927588203746513,0.5137990694039425,0.1895785078442465,0.39452318736647735,0.36624548104418236,0.3923052334827951,0.10354094316901323,0.30271985268093776,0.4493816177241903,0.15710761287160221,0.48878030563494546,0.1466617650432525,0.3316726927633432,0.7968303016964448,0.8005320521907894,0.26032591385603937,0.6132510960433352,0.9678062047312286,0.3658661562044728,1.222206035497778,0.3545551086878934,0.8563398792933051,0.0,1.0,-0.09532807195088672,-0.11264992082151282,0.11264992082151282,0.012690004661093107,0.0,1.0,-0.10682496159999122,-0.08076520916137847,0.08076520916137847,0.006523019010881213,1.0,1.0,-0.009399193676841722,-0.005697443182497097,0.005697443182497097,3.2460858817782655e-05
63,0.5994214000882413,0.3551571107261141,1.687764040153193,0.6002747433458488,0.3551571107261141,26,0.9970383587298046,mild,0.635965066721087,0.6376032815345833,0.03439632211333816,0.6124722236263824,0.6592552682190393,0.5778962153435213,0.6909043787825649,0.04678304459265692,0.11300816343904363,0.3785326747298665,0.3781924152125016,0.022014036845119416,0.36376748457999264,0.3927994450759375,0.34359451147719233,0.4150850742282252,0.029031960495944864,0.07149056275103288,1.6814687265477626,1.6790121433655507,0.05889644171495294,1.6407881515029685,1.717246322256635,1.5913163964276478,1.782304393545574,0.07645817075366645,0.19098799711792624,0.0,1.0,0.036543666632845695,0.03818188144634205,0.03818188144634205,0.0014578560707825192,0.0,1.0,0.023375564003752403,0.023035304486387465,0.023035304486387465,0.0005306252527805824,1.0,1.0,-0.006295313605430453,-0.008751896787642321,0.008751896787642321,7.659569738154399e-05
64,0.6083331162211956,0.09811552230209974,6.200172021182593,0.638221171280795,0.09811552230209974,18,0.9268277391411107,mild,0.6210813470280955,0.6206705200752605,0.021112645300598157,0.6068272786990585,0.6352180072059999,0.5868108902803915,0.6563933428363562,0.028390728506941354,0.06958245255596474,0.09862192644021221,0.09840837198989669,0.0044839722935761704,0.09550005229099329,0.10158432022345534,0.09166876424822697,0.10633253863866705,0.006084267932462056,0.014663774390440087,6.309959306866007,6.296252936014549,0.34820577757007987,6.066873444863845,6.521962326324727,5.77368159129493,6.901655772618295,0.455088881460882,1.1279741813233652,1.0,1.0,0.012748230806899907,0.012337403854064899,0.012337403854064899,0.00015221153385829543,1.0,1.0,0.0005064041381124679,0.0002928496877969422,0.0002928496877969422,8.576093964276652e-08,1.0,1.0,0.10978728568341456,0.09608091483195658,0.09608091483195658,0.009231542194945694
65,0.8249097436238314,0.4053999886317049,2.0348045553924274,0.8953589286868843,0.4053999886317049,22,0.8594953239942307,mild,0.9534459716845876,0.9617266837838072,0.03247443666609236,0.9406445440058626,0.9755881786385219,0.8928556336700373,0.9873755118985983,0.03494363463265926,0.094519878228561,0.43339930440527535,0.4336612511558445,0.02343660130039298,0.41717018721730725,0.4493234360586649,0.3955082027630554,0.4721042987865826,0.03215324884135767,0.07659609602352718,2.2038172684756026,2.1976171641874878,0.09530326728440915,2.1430358883641984,2.2587568533487588,2.0639074805128974,2.3552894984832444,0.1157209649845603,0.291382017970347,0.0,0.0,0.12853622806075615,0.1368169401599758,0.1368169401599758,0.018718875114738402,0.0,1.0,0.027999315773570455,0.028261262524139574,0.028261262524139574,0.0007986989594583359,0.0,0.0,0.16901271308317511,0.16281260879506032,0.16281260879506032,0.026507945582653354
66,0.8864643389226989,0.35519074676733114,2.495741645835668,0.8907797699001242,0.35519074676733114,27,0.9894683601861475,mild,0.9189437214784706,0.9275102182868855,0.03958324879390749,0.8989138034942311,0.9471220933937692,0.8429755771948866,0.9682104577835591,0.04820828989953807,0.1252348805886725,0.35587295582663225,0.3540341372704293,0.020670896200558158,0.3421575703463279,0.36719689837490266,0.32526637878361386,0.3929358646894832,0.02503932802857478,0.06766948590586935,2.5872000046118053,2.5830237073536906,0.1290538014397959,2.502588325639825,2.6592108523067295,2.390897740339184,2.805804704716578,0.15662252666690435,0.41490696437739416,0.0,1.0,0.03247938255577165,0.04104587936418658,0.04104587936418658,0.0016847642127793576,1.0,1.0,0.0006822090593011088,-0.0011566094969018281,0.0011566094969018281,1.3377455283235e-06,0.0,1.0,0.0914583587761375,0.08728206151802276,0.08728206151802276,0.007618158262835909
67,0.9872526871749301,0.48826737069958037,2.021950976901063,0.9919490230907532,0.48826737069958037,23,0.9912324946542743,mild,0.9687020970106681,0.9740848795020798,0.02982091482189726,0.961476986755857,0.9846481497841526,0.9254112211592493,0.9965244812086507,0.023171163028295583,0.07111326004940133,0.4882741110557863,0.49350194952459003,0.02494291127574232,0.4853144439266341,0.49781888856625256,0.4650800735444898,0.4997343189887882,0.012504444639618473,0.03465424544429835,2.017826472225997,1.978410344581696,0.7720697299496421,1.9561623819593947,2.00084853386548,1.9177610621591226,2.0508550654072137,0.04468615190608505,0.13309400324809117,0.0,1.0,-0.01855059016426197,-0.013167807672850307,0.013167807672850307,0.0001733911589091754,1.0,1.0,6.740356205903186e-06,0.005234578825009661,0.005234578825009661,2.740081547523953e-05,0.0,1.0,-0.0041245046750661984,-0.043540632319367,0.043540632319367,0.0018957866627703063
68,0.1257664596154778,0.44529276185776645,0.2824354455948907,0.12666839003877123,0.44529276185776645,13,0.9903778291018822,mild,0.2807988009129158,0.2643909687117644,0.11587252984494467,0.1903854800570674,0.3596386775700816,0.11909041492124312,0.49560312385892263,0.1692531975130142,0.3765127089376795,0.3491655918646064,0.3689887772176308,0.10504924120466562,0.27915115613336317,0.4366608968560505,0.1445356524284103,0.4826059311802567,0.1575097407226873,0.33807027875184636,0.8288460061521601,0.8222741039971265,0.2667053278328889,0.6424363037856149,1.0070431838870564,0.3993535032735967,1.2515390838381097,0.3646068801014415,0.8521855805645131,0.0,1.0,0.155032341297438,0.13862450909628657,0.13862450909628657,0.01921675452218644,0.0,1.0,-0.09612716999316007,-0.07630398464013566,0.07630398464013566,0.005822298071962059,0.0,0.0,0.5464105605572693,0.5398386584022359,0.5398386584022359,0.2914257771055259
69,0.1294289926161953,0.3181096904280224,0.4068690659566084,0.13452845352549656,0.3181096904280224,21,0.934644502697063,mild,0.2502747532368263,0.2363122260728692,0.10038407497004058,0.16794928951439286,0.3204735893040854,0.1128205195929303,0.430117225287142,0.15252429978969256,0.31729670569421176,0.3408263257127119,0.359994035873981,0.09971537259484733,0.27863974816963055,0.4154284144909134,0.1458237223464831,0.4745939699591267,0.13678866632128284,0.3287702476126436,0.7585127612850249,0.7627713366619349,0.24424612224719444,0.5941802378191826,0.9081127605366066,0.36346264462977895,1.129543192106649,0.313932522717424,0.76608054747687,0.0,1.0,0.12084576062063099,0.10688323345667389,0.10688323345667389,0.011424025594153852,1.0,1.0,0.02271663528468948,0.04188434544595859,0.04188434544595859,0.0017542983934363922,0.0,1.0,0.3516436953284165,0.3559022707053265,0.3559022707053265,0.12666642629320748
70,0.6061051993767494,0.2635722333935869,2.299579100472489,0.6845142339705432,0.2635722333935869,11,0.8531449043180852,mild,0.6499291418999901,0.6504972893527068,0.020739320817111082,0.6363188061496348,0.6638837583720187,0.6147703316916335,0.6832898434786095,0.027564952222383976,0.06851951178697602,0.271481567449292,0.2714670103935504,0.01030364520069794,0.264218632113236,0.2782050635639751,0.25520563070955027,0.2892041438275959,0.013986431450739134,0.03399851311804564,2.395775354757351,2.390959408650575,0.07812423735832064,2.3412140300988247,2.447261948637344,2.272560760764991,2.527503001313569,0.10604791853851925,0.25494224054857817,0.0,0.0,0.04382394252324062,0.04439208997595734,0.04439208997595734,0.001970657652433492,0.0,1.0,0.007909334055705153,0.007894776999963549,0.007894776999963549,6.232750387915345e-05,0.0,1.0,0.096196254284862,0.09138030817808618,0.09138030817808618,0.008350360722722003
71,0.8805344428852312,0.23151971485652084,3.803280612326785,0.8847086143191784,0.23151971485652084,19,0.9923901107529476,mild,0.8665188608026714,0.8705325922783207,0.03803349652246731,0.8432520317350359,0.8939008295951656,0.7946640256690232,0.9232070561244312,0.05064879786012966,0.12854303045540805,0.22903470732632192,0.22799024765636025,0.011159634854956378,0.2213545847250752,0.2359863086473526,0.21251477427054716,0.24967259619317247,0.014631723922277406,0.03715782192262532,3.790390870470424,3.7837502156776375,0.21932278010572503,3.636301999557301,3.9276767759221025,3.4425471657446494,4.165499181767968,0.2913747763648016,0.7229520160233189,1.0,1.0,-0.014015582082559819,-0.0100018506069105,0.0100018506069105,0.00010003701556295594,1.0,1.0,-0.002485007530198924,-0.003529467200160591,0.003529467200160591,1.2457138717009441e-05,1.0,1.0,-0.012889741856360715,-0.019530396649147352,0.019530396649147352,0.00038143639327302615
72,0.5923659803893551,0.32137828234295857,1.843204761911112,0.6696675196780307,0.32137828234295857,11,0.852009340997705,mild,0.7129082840309753,0.7138253509054628,0.030127994486396907,0.6934399891424824,0.7326890501846377,0.6611068242308674,0.7626003243590707,0.03924906104215531,0.10149350012820324,0.3571410707344381,0.35641606226803774,0.01650565958606768,0.3458520006038871,0.3675917970261411,0.3317128131247294,0.3859713157797167,0.021739796422253987,0.05425850265498733,1.9974044094074517,1.9962425021813945,0.060924589742013854,1.9544775340474585,2.037360296362466,1.9010663016302058,2.100525027690063,0.08288276231500769,0.19945872605985704,0.0,0.0,0.12054230364162022,0.12145937051610778,0.12145937051610778,0.014752378686169151,0.0,0.0,0.03576278839147956,0.03503777992507917,0.03503777992507917,0.001227646022078281,0.0,0.0,0.15419964749633963,0.1530377402702825,0.1530377402702825,0.023420549947034446
73,0.523397820901077,0.26863003686550435,1.9483964898650847,0.5687406449082459,0.26863003686550435,22,0.85763400363747,mild,0.5693437901966117,0.5693563330652115,0.016191169431259003,0.5581484051764003,0.580429119232852,0.5425787858532409,0.5955608265869814,0.02228071405645171,0.052982040733740465,0.27945556901210805,0.2789424822517409,0.010731048194523649,0.27228589884556953,0.2862444258079249,0.2627777335503731,0.2977426476689899,0.013958526962355389,0.0349649141186168,2.0388631895997107,2.036214082695178,0.059307450793355906,1.9980884109802453,2.077614215354319,1.9426896595231684,2.1389690785250495,0.07952580437407364,0.19627941900188106,0.0,0.0,0.04594596929553474,0.04595851216413449,0.04595851216413449,0.002112184840340898,0.0,1.0,0.0108255321466037,0.010312445386236546,0.010312445386236546,0.00010634652984411143,0.0,1.0,0.09046669973462595,0.08781759283009327,0.08781759283009327,0.007711929610472049
74,0.5635561849909991,0.4363672353982305,1.2914722721486993,0.5847160602736274,0.4363672353982305,27,0.9213298009058412,mild,0.5010575412355208,0.5040363389601024,0.06894735834408455,0.45407152919759586,0.5506108597335928,0.3843640944095252,0.6102902647072008,0.09653933053599695,0.22592617029767564,0.3823316907154557,0.38377867520484976,0.04550626307450414,0.3528514061684636,0.41395229570996234,0.3058145933561197,0.45452640454319465,0.061100889541498726,0.14871181118707494,1.3122004554196738,1.3145321505581697,0.1114851423067682,1.2464488128692786,1.3789844502074728,1.1274123490716867,1.4851705626047635,0.1325356373381943,0.3577582135330768,0.0,1.0,-0.06249864375547831,-0.05951984603089677,0.05951984603089677,0.003542612071541658,0.0,1.0,-0.05403554468277483,-0.05258856019338076,0.05258856019338076,0.0027655566632128316,1.0,1.0,0.020728183270974476,0.023059878409470436,0.023059878409470436,0.0005317579922595608
75,0.26682838174677415,0.27923587468053424,0.95556626472886,0.2848962751842022,0.27923587468053424,19,0.8977109701068818,mild,0.2918642959192018,0.27791895157875646,0.1185619410930907,0.19789783103063743,0.3757306148706555,0.12123751686398566,0.5061806836675707,0.17783278384001808,0.3849431668035851,0.35493617260661164,0.37516032124439147,0.09788994205364375,0.2933537418522454,0.43108200041587963,0.16206294891818873,0.48191172211893335,0.13772825856363424,0.3198487732007446,0.8369922341428688,0.8449009714723574,0.25910492659987466,0.6608559992217311,1.011075289910046,0.3930979775360041,1.2340621758650827,0.3502192906883148,0.8409641983290785,1.0,1.0,0.025035914172427676,0.011090569831982311,0.011090569831982311,0.00012300073919807616,0.0,1.0,0.07570029792607741,0.09592444656385724,0.09592444656385724,0.009201499448582302,1.0,1.0,-0.11857403058599114,-0.11066529325650254,0.11066529325650254,0.012246807131547707
