case_id,tau,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_pre,curve_mae_pre,curve_rmse_pre,curve_bias_post,curve_mae_post,curve_rmse_post,post_minus_pre_rmse,post_minus_pre_mae,true_beta,true_gamma,true_R0,rho0,eta,severity
20,18,0.48,0.94,-0.007052078092237934,0.0173616643960122,0.020535248254425365,-0.008114800435982438,0.013944122516679473,0.017221222855470567,-0.0064542967738816515,0.01928403170313686,0.022182870463535547,0.00496164760806498,0.005339909186457388,0.3546530781427295,0.23424459044779466,1.5140288937505684,1.0,0.563705524728716,strong
21,30,0.38,0.8,-0.0022863144986331463,0.021565959416329862,0.027474257698473396,-0.010313932038843631,0.020108306035399436,0.026343498650888145,0.009755111811682583,0.023752439487725496,0.029088093929497915,0.0027445952786097697,0.0036441334523260593,0.45502054930890345,0.19800600835441223,2.298013848622509,1.0,0.5592973441426685,strong
22,11,0.56,0.84,-0.005554759562364779,0.014790093806223013,0.02057077096313089,-0.011124110441993584,0.023685808801515537,0.028301677134697636,-0.00398391700657204,0.012281045987037942,0.017792966548954334,-0.010508710585743302,-0.011404762814477595,0.6258602359305521,0.23720893602920884,2.6384344806195936,1.0,0.5352320889502435,strong
23,16,0.5,0.8,-0.004700212710886263,0.01975319550780114,0.025127841061338176,-0.012291278369957581,0.018625147553393617,0.02324965412132072,-0.0011279465183821123,0.020284041603992914,0.02596472559183557,0.0027150714705148522,0.0016588940505992966,0.34521744342857574,0.16599815088357034,2.0796463188960956,1.0,0.39267392182483923,strong
24,22,0.56,0.94,-0.0014389010786544532,0.015088817776413634,0.018649308273796152,-0.007518055848777294,0.01904810177670284,0.02195061570308983,0.0033375776692992076,0.011977951776186404,0.015571935951954836,-0.006378679751134993,-0.007070150000516435,0.8359497397351915,0.1461540065283657,5.71964983780961,1.0,0.5906549064401501,strong
25,26,0.76,0.98,-0.005624987413320923,0.00943811334655038,0.01355424382559269,-0.008749515993538527,0.013288644207372831,0.017281765718691798,-0.0022400814514185186,0.005266704913992726,0.007693967330890246,-0.009587798387801553,-0.008021939293380105,0.28065641001307484,0.3186556615270349,0.8807513686345215,1.0,0.4085410304986122,strong
26,24,0.6,0.96,-0.0016947644040919841,0.016393004932906477,0.020654078697672672,-0.0028694364009425044,0.01801474066451192,0.022717964140367346,-0.0006104517916145807,0.014896018103732226,0.018546207232094245,-0.004171756908273101,-0.0031187225607796926,0.30269982033621795,0.19910357814311508,1.5203133120924537,1.0,0.48679341723112235,strong
27,30,0.8,1.0,-0.0025024114931511575,0.008637108678049116,0.011182587014245795,-0.001374754715167607,0.009026678253818924,0.011942970810234073,-0.004193896660126484,0.008052754314394405,0.00993346883856752,-0.002009501971666553,-0.0009739239394245189,0.23906469648315531,0.47815126742988984,0.4999771260006307,1.0,0.35874755414623105,strong
28,30,0.64,0.92,-0.004835933391004801,0.013033905485644936,0.01779425129525651,-0.01117054366817077,0.016957491512099902,0.02169318070360357,0.004665982024744153,0.007148526445962489,0.009257284393279034,-0.012435896310324537,-0.009808965066137414,0.5579047532030652,0.18204407638034703,3.064668536851634,1.0,0.41229020135115774,strong
29,22,0.34,0.66,0.002070029741153121,0.033880840251222254,0.04377531479165836,-0.02147000073455274,0.026381928579543124,0.035864398510134156,0.020565767972064868,0.03977284227897014,0.04910495228319552,0.013240553773061367,0.013390913699427017,0.2637106920498069,0.07047549658206767,3.7418777424678336,1.0,0.3144524134554624,strong
