case_id,true_beta,true_gamma,true_R0,beta_mean,beta_median,beta_std,beta_ci50_low,beta_ci50_high,beta_ci90_low,beta_ci90_high,beta_width50,beta_width90,gamma_mean,gamma_median,gamma_std,gamma_ci50_low,gamma_ci50_high,gamma_ci90_low,gamma_ci90_high,gamma_width50,gamma_width90,R0_mean,R0_median,R0_std,R0_ci50_low,R0_ci50_high,R0_ci90_low,R0_ci90_high,R0_width50,R0_width90,beta_covered50,beta_covered90,beta_err_mean,beta_err_median,beta_abs_err_median,beta_sq_err_median,gamma_covered50,gamma_covered90,gamma_err_mean,gamma_err_median,gamma_abs_err_median,gamma_sq_err_median,R0_covered50,R0_covered90,R0_err_mean,R0_err_median,R0_abs_err_median,R0_sq_err_median
20,0.1959393407746825,0.21640712112414906,0.9054200238737775,0.26417400022042203,0.223748862465344,0.14386083951757198,0.14871990000086358,0.3468007196425272,0.10748628021811141,0.573735826625519,0.1980808196416636,0.4662495464074076,0.3476571896112282,0.37907263843136885,0.12249827903713982,0.2567545953885145,0.4545636814838203,0.11553239204806305,0.495792866875036,0.19780908609530584,0.38026047482697295,0.7859192029642144,0.7466654772761955,0.3134827636648182,0.5479950525858902,0.9878010961791186,0.34186726928087136,1.3466596201176029,0.4398060435932284,1.0047923508367316,1.0,1.0,0.06823465944573953,0.027809521690661504,0.027809521690661504,0.0007733694966633726,0.0,1.0,0.13125006848707915,0.1626655173072198,0.1626655173072198,0.02646007052082542,1.0,1.0,-0.11950082090956315,-0.15875454659758204,0.15875454659758204,0.025203006065403846
21,0.931925621235406,0.3481941839174678,2.676453726913197,0.9377532507791111,0.9452769743724694,0.03490052121068454,0.9210009948714037,0.9626843353200851,0.8693952207924616,0.9789995650755445,0.04168334044868138,0.10960434428308297,0.36515812151119165,0.3649773008078404,0.01769699002580144,0.3528652950296202,0.3770954443959288,0.33732511231834833,0.39435192683608083,0.024230149366308573,0.057026814517732505,2.571822500256593,2.5654449960163768,0.11575817498191866,2.489330337551984,2.6441248660905847,2.39362824155927,2.7701906429969667,0.15479452853860076,0.3765624014376967,1.0,1.0,0.005827629543705082,0.013351353137063371,0.013351353137063371,0.0001782586305905719,0.0,1.0,0.016963937593723832,0.016783116890372596,0.016783116890372596,0.0002816730125559099,0.0,1.0,-0.10463122665660407,-0.1110087308968204,0.1110087308968204,0.012322938335322687
22,0.3636898387904739,0.11066963534702925,3.28626580949728,0.3472434356037038,0.34716298944515,0.01147467685305115,0.33956939430259114,0.3546615132467592,0.3283133396854502,0.36604565000005046,0.015092118944168065,0.03773231031460028,0.10989569943303505,0.10969374947562086,0.005005825596602666,0.1063543333094179,0.1131914315664472,0.10207944366346187,0.11818728110910597,0.0068370982570293,0.01610783744564409,3.165758058502317,3.1609107698690577,0.1684563253573679,3.05302697465583,3.278078875696095,2.893662715563423,3.4480516511252084,0.22505190104026518,0.5543889355617853,0.0,1.0,-0.016446403186770098,-0.01652684934532389,0.01652684934532389,0.0002731367492830327,1.0,1.0,-0.0007739359139942031,-0.0009758858714083996,0.0009758858714083996,9.523532340145313e-07,0.0,1.0,-0.12050775099496303,-0.12535503962822236,0.12535503962822236,0.0157138859601932
23,0.7971079653659398,0.22612597102898474,3.525061547502506,0.7995009387684584,0.8007786388307259,0.02379837378192363,0.7840802621239604,0.8162951057678915,0.757849999359843,0.8358887834232416,0.032214843643931124,0.07803878406339859,0.22910133247402795,0.22891262488449202,0.00868338731019501,0.2231129306248454,0.2348261670808364,0.21537508805142752,0.243749119469655,0.011713236455990983,0.028374031418227474,3.4937676436426397,3.486256683053476,0.14746549343001056,3.3915168609299315,3.5875436226437407,3.269765802451634,3.749628139587845,0.19602676171380917,0.47986233713621074,1.0,1.0,0.00239297340251865,0.0036706734647861117,0.0036706734647861117,1.3473843685084878e-05,1.0,1.0,0.0029753614450432064,0.002786653855507276,0.002786653855507276,7.765439710413567e-06,1.0,1.0,-0.0312939038598663,-0.038804864449029974,0.038804864449029974,0.0015058175049075904
24,0.5406968446730807,0.3696168200742086,1.4628577903043591,0.5542989773298116,0.5543116745229042,0.035710707024958904,0.5300845693825262,0.5788664455973014,0.49378779282159946,0.6121590458587738,0.048781876214775144,0.11837125303717433,0.38906092972455425,0.39040584640059384,0.027214962119837045,0.37102904467790043,0.4078958220193793,0.34226067621366635,0.4337037869102901,0.03686677734147886,0.09144311069662375,1.427239091708553,1.4232256575841575,0.07541723364476334,1.3772171185939293,1.471916472732716,1.309992978986926,1.5560199679549174,0.09469935413878683,0.24602698896799136,1.0,1.0,0.013602132656730936,0.01361482984982354,0.01361482984982354,0.00018536359183964608,0.0,1.0,0.019444109650345653,0.02078902632638524,0.02078902632638524,0.0004321836155991386,1.0,1.0,-0.03561869859580624,-0.03963213272020161,0.03963213272020161,0.0015707059439516748
25,0.5568982261761735,0.05645805065134216,9.86392940867388,0.5327472596894846,0.5323738033951981,0.020342315297337234,0.519108853365939,0.5467695311887014,0.4991943571850674,0.5652632348978011,0.02766067782276238,0.06606887771273368,0.05722392248609719,0.056534682201399955,0.003364862661940747,0.054905853012424684,0.05884901840927783,0.05313935883490038,0.0633728706648627,0.003943165396853146,0.010233511829962322,9.339208021556725,9.360759771871138,0.6182221790769197,8.949522715282296,9.748973460319206,8.279014614293434,10.301585766791042,0.7994507450369106,2.0225711524976084,0.0,1.0,-0.024150966486688907,-0.02452442278097533,0.02452442278097533,0.0006014473127400218,1.0,1.0,0.0007658718347550234,7.66315500577916e-05,7.66315500577916e-05,5.872394464259819e-09,0.0,1.0,-0.5247213871171539,-0.5031696368027418,0.5031696368027418,0.25317968340020314
26,0.6870560959926543,0.06871803523232278,9.99819179448083,0.6587369299274879,0.658529531951263,0.023502076518775065,0.6418711996325847,0.6750735164828535,0.6212169683418466,0.6980086794751497,0.033202316850268865,0.07679171113330308,0.06958097142673063,0.06928694082009423,0.004080840476134716,0.0667509926266852,0.07191700188981179,0.06360946988454365,0.07692564752833231,0.005166009263126589,0.01331617764378866,9.498537566064511,9.48791941742832,0.6374533958131595,9.048002886286072,9.92324228550087,8.512097219332109,10.589439114588377,0.8752393992147969,2.077341895256268,0.0,1.0,-0.02831916606516638,-0.02852656404139131,0.02852656404139131,0.0008137648560075998,1.0,1.0,0.0008629361944078456,0.0005689055877714511,0.0005689055877714511,3.236535677975802e-07,0.0,1.0,-0.49965422841631835,-0.5102723770525106,0.5102723770525106,0.26037789878281953
27,0.6747460666796103,0.49102343957840594,1.374162641316979,0.5985979281513971,0.6039079612251749,0.07633183997952057,0.5459824112050323,0.6543698333168879,0.4650963700938458,0.7158906911108094,0.10838742211185559,0.2507943210169636,0.45075698702586087,0.4608819196064475,0.038400581131276555,0.43235305568576865,0.47865516923624246,0.3766369788545923,0.4947010893406442,0.04630211355047381,0.11806411048605192,1.3280135575807968,1.3400811844185383,0.1251597428002558,1.2504501955502674,1.4092367142430047,1.107022825308085,1.5032042866372708,0.1587865186927373,0.39618146132918586,0.0,1.0,-0.07614813852821323,-0.07083810545443547,0.07083810545443547,0.005018037184373721,0.0,1.0,-0.04026645255254507,-0.030141519971958464,0.030141519971958464,0.0009085112262199709,1.0,1.0,-0.046149083736182206,-0.034081456898440665,0.034081456898440665,0.0011615457043202687
28,0.44826724270216356,0.21646616791418954,2.0708420489979913,0.44753382731700714,0.4475854551607439,0.011992103057897779,0.4395013402375164,0.4558107218972649,0.4277994638350476,0.4671846263879631,0.01630938165974849,0.03938516255291552,0.22443788940921036,0.22439996169354173,0.007015886641070534,0.219701206843728,0.22907272196011536,0.2132114593137464,0.23613814042086473,0.009371515116387369,0.02292668110711832,1.995172393673714,1.9959379960499513,0.05979431051196703,1.953736100357054,2.0337675977069996,1.9008654541591088,2.095387210302403,0.08003149734994564,0.19452175614329437,1.0,1.0,-0.0007334153851564218,-0.0006817875414196761,0.0006817875414196761,4.648342516350866e-07,0.0,1.0,0.007971721495020817,0.007933793779352188,0.007933793779352188,6.294508373328748e-05,0.0,1.0,-0.07566965532427727,-0.07490405294804003,0.07490405294804003,0.005610617148042785
29,0.3044974414309043,0.17249458359194025,1.765257987179673,0.28015797096900225,0.2798485219080916,0.013825304029210417,0.2708006275522989,0.2892568660845972,0.2577709902360457,0.303062350002091,0.01845623853229833,0.04529135976604526,0.15284066563187224,0.15274130367613675,0.012867196555366358,0.1439670896587255,0.1612584083381702,0.13283061979312438,0.17424556060769558,0.017291318679444695,0.0414149408145712,1.8426412246143555,1.8432028651985841,0.13974997696601626,1.7530655835244058,1.9344608200418585,1.6227652852050682,2.0711556623882914,0.1813952365174527,0.44839037718322317,0.0,0.0,-0.024339470461902046,-0.024648919522812673,0.024648919522812673,0.0006075692336420958,0.0,1.0,-0.019653917960068018,-0.0197532799158035,0.0197532799158035,0.000390192067432086,1.0,1.0,0.07738323743468256,0.07794487801891115,0.07794487801891115,0.0060754040093829375
